event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
0,1,59,-11.220,-15.763,26.127,0.715,-0.149,0.683,124.925,1.000,57.875,652.857,5.784
0,1,60,-10.535,-15.906,26.781,0.430,-0.457,0.779,112.270,1.000,58.875,648.154,4.703
0,1,61,-10.123,-16.343,27.526,0.267,-0.236,0.934,97.413,1.000,59.875,645.571,2.583
0,1,62,-9.868,-16.569,28.420,0.476,0.088,0.875,103.867,1.000,60.875,619.789,25.782
0,1,63,-9.414,-16.484,29.255,0.852,0.060,0.521,132.138,1.000,61.875,615.190,4.599
0,1,64,-8.602,-16.427,29.752,0.943,0.291,0.162,139.490,1.000,62.875,606.998,8.193
0,1,65,-7.703,-16.150,29.906,0.257,0.272,-0.927,110.332,1.000,63.875,603.347,3.651
0,1,66,-7.458,-15.890,29.022,0.250,0.595,-0.764,102.207,1.000,64.875,595.409,7.937
0,1,67,-7.221,-15.325,28.295,0.505,0.358,-0.786,121.612,1.000,65.875,589.038,6.372
0,1,68,-6.741,-14.985,27.548,0.692,0.248,-0.678,135.189,1.000,66.875,587.306,1.732
0,1,69,-6.084,-14.749,26.904,0.770,0.033,-0.638,146.901,1.000,67.875,580.986,6.320
0,1,70,-5.352,-14.717,26.298,0.723,0.276,-0.633,136.166,1.000,68.875,574.719,6.267
0,1,71,-4.666,-14.455,25.697,0.807,0.222,-0.548,142.922,1.000,69.875,571.065,3.654
0,1,72,-3.901,-14.245,25.178,0.500,0.420,-0.758,119.711,1.000,70.875,568.713,2.352
0,1,73,-3.427,-13.847,24.459,0.620,0.100,-0.778,134.945,1.000,71.875,565.173,3.540
0,1,74,-2.840,-13.752,23.722,0.291,0.431,-0.854,108.458,1.000,72.875,560.809,4.364
0,1,75,-2.564,-13.343,22.913,-0.202,0.209,-0.957,86.784,1.000,73.875,554.789,6.020
0,1,76,-2.755,-13.145,22.007,-0.198,0.051,-0.979,89.973,1.000,74.875,547.751,7.038
0,1,77,-2.942,-13.098,21.082,0.068,-0.752,-0.655,114.852,1.000,75.875,543.861,3.890
0,1,78,-2.878,-13.808,20.462,0.063,-0.810,-0.582,114.700,1.000,76.875,538.554,5.307
0,1,79,-2.819,-14.573,19.913,-0.616,-0.696,-0.369,73.001,1.000,77.875,534.068,4.487
0,1,80,-3.400,-15.230,19.565,-0.605,-0.518,-0.605,73.317,1.000,78.875,526.966,7.101
0,1,81,-3.969,-15.718,18.995,-0.778,0.611,-0.150,28.783,1.000,79.875,523.952,3.014
0,1,82,-4.701,-15.143,18.854,-0.872,0.161,-0.463,39.912,1.000,80.875,523.024,0.928
